,Movie,Year,Duration (min),Genre,IMDb,Votes,Gross (Mill)
287,Cool Hand Luke,1967,127,"Crime, Drama",8.1,160149,16.22
288,Persona,1966,83,"Drama, Thriller",8.1,101280,-
289,Andrei Rublev,1966,205,"Biography, Drama, History",8.1,46022,0.1
290,The Battle of Algiers,1966,121,"Drama, War",8.1,52283,0.06
291,The Exterminating Angel,1962,95,"Drama, Fantasy",8.1,29339,-
292,What Ever Happened to Baby Jane?,1962,135,"Drama, Horror, Thriller",8.1,49664,4.05
293,Sanjuro,1962,96,"Action, Comedy, Crime",8.1,32404,-
294,The Man Who Shot Liberty Valance,1962,123,"Drama, Western",8.1,68089,-
295,Ivan's Childhood,1962,84,"Drama, War",8.1,31060,-
296,The Virgin Spring,1960,89,Drama,8.1,26403,1.53
297,Inherit the Wind,1960,128,"Biography, Drama, History",8.1,27028,-
298,The 400 Blows,1959,99,"Crime, Drama",8.1,103789,-
299,Ben-Hur,1959,212,"Adventure, Drama, History",8.1,217307,74.7
300,The Hidden Fortress,1958,126,"Adventure, Drama",8.1,34165,-
301,Sweet Smell of Success,1957,96,"Drama, Film-Noir",8.1,27749,-
302,Nights of Cabiria,1957,110,Drama,8.1,42449,0.75
303,Throne of Blood,1957,110,"Drama, History",8.1,45983,-
304,The Bridge on the River Kwai,1957,161,"Adventure, Drama, War",8.1,201492,44.91
305,On the Waterfront,1954,108,"Crime, Drama, Thriller",8.1,140599,9.6
306,The Wages of Fear,1953,131,"Adventure, Drama, Thriller",8.1,53915,-
307,Ace in the Hole,1951,111,"Drama, Film-Noir",8.1,31182,3.97
308,White Heat,1949,114,"Action, Crime, Drama",8.1,29443,-
309,The Third Man,1949,93,"Film-Noir, Mystery, Thriller",8.1,157279,0.45
310,The Red Shoes,1948,135,"Drama, Music, Romance",8.1,30514,10.9
311,The Shop Around the Corner,1940,99,"Comedy, Drama, Romance",8.1,27352,0.2
312,Rebecca,1940,130,"Drama, Mystery, Romance",8.1,122471,4.36
313,Mr. Smith Goes to Washington,1939,129,"Comedy, Drama",8.1,105893,9.6
314,Gone with the Wind,1939,238,"Drama, History, Romance",8.1,287225,198.68
315,La Grande Illusion,1937,113,"Drama, War",8.1,33544,0.17
316,It Happened One Night,1934,105,"Comedy, Romance",8.1,92844,4.36
317,The Passion of Joan of Arc,1928,114,"Biography, Drama, History",8.1,46871,0.02
318,The Circus,1928,72,"Comedy, Romance",8.1,29461,-
319,Sunrise,1927,94,"Drama, Romance",8.1,46541,0.54
320,The General,1926,67,"Action, Adventure, Comedy",8.1,80133,1.03
321,The Cabinet of Dr. Caligari,1920,67,"Fantasy, Horror, Mystery",8.1,56765,-
322,Shoplifters,2018,121,"Crime, Drama",8,59966,3.31
323,Badhaai Ho,2018,124,"Comedy, Drama",8,27253,-
324,Marriage Story,2019,137,"Comedy, Drama, Romance",8,238007,2
325,Togo,2019,113,"Adventure, Biography, Drama",8,34334,-
326,Airlift,2016,130,"Drama, History",8,52483,-
327,Bajrangi Bhaijaan,2015,163,"Action, Adventure, Comedy",8,71215,8.18
328,Baby,-,159,"Action, Thriller",8,52379,-
329,La La Land,2016,128,"Comedy, Drama, Music",8,496888,151.1
330,Lion,2016,118,"Biography, Drama",8,210683,51.74
331,The Martian,2015,144,"Adventure, Drama, Sci-Fi",8,751095,228.43
332,Zootopia,2016,108,"Animation, Adventure, Comedy",8,427880,341.27
333,The Tale of The Princess Kaguya,2013,137,"Animation, Adventure, Drama",8,37666,1.51
334,Wonder,-,113,"Drama, Family",8,138178,132.42
335,Special 26,2013,144,"Crime, Drama, Thriller",8,50467,1.08
336,Short Term 12,2013,96,Drama,8,80899,1.01
337,The Raid 2,2014,150,"Action, Crime, Thriller",8,113405,2.63
338,The Imitation Game,2014,114,"Biography, Drama, Thriller",8,677025,91.13
339,Guardians of the Galaxy,2014,121,"Action, Adventure, Comedy",8,1033840,333.18
340,Blade Runner 2049,2017,164,"Action, Drama, Mystery",8,452308,92.05
341,Her,2013,126,"Drama, Romance, Sci-Fi",8,533287,25.57
342,Bohemian Rhapsody,2018,134,"Biography, Drama, Music",8,442111,216.43
343,The Revenant,2015,156,"Action, Adventure, Drama",8,695447,183.64
344,The Perks of Being a Wallflower,2012,103,"Drama, Romance",8,457352,17.74
345,Elite Squad 2: The Enemy Within,2010,115,"Action, Crime, Drama",8,78773,0.1
346,The King's Speech,2010,118,"Biography, Drama, History",8,634055,138.8
347,The Help,2011,146,Drama,8,424148,169.71
348,Deadpool,2016,108,"Action, Adventure, Comedy",8,893087,363.07
349,Darbareye Elly,2009,119,"Drama, Mystery, Thriller",8,44832,0.11
350,Dev.D,2009,144,"Drama, Romance",8,28498,0.01
351,Ip Man,2008,106,"Action, Biography, Drama",8,209889,-
352,My Name Is Khan,2010,165,Drama,8,97685,4.02
353,The Breath,2009,128,"Action, Drama, Thriller",8,31545,-
354,Slumdog Millionaire,2008,120,"Drama, Romance",8,792887,141.32
355,Black Swan,2010,108,"Drama, Thriller",8,693217,106.95
356,The Avengers,2012,143,"Action, Adventure, Sci-Fi",8,1251415,623.28
357,Persepolis,2007,96,"Animation, Biography, Drama",8,87922,4.45
358,Dallas Buyers Club,2013,117,"Biography, Drama",8,436033,27.3
359,The Pursuit of Happyness,2006,117,"Biography, Drama",8,443398,163.57
360,Blood Diamond,2006,143,"Adventure, Drama, Thriller",8,494662,57.37
361,The Bourne Ultimatum,2007,115,"Action, Mystery, Thriller",8,601454,227.47
362,3-Iron,2004,88,"Crime, Drama, Romance",8,49593,0.24
363,Sin City,2005,124,"Crime, Thriller",8,736171,74.1
364,The Diving Bell and the Butterfly,2007,112,"Biography, Drama",8,102684,5.99
365,G.O.R.A.,2004,127,"Adventure, Comedy, Sci-Fi",8,56060,-
366,Ratatouille,2007,111,"Animation, Adventure, Comedy",8,633318,206.45
367,Casino Royale,2006,144,"Action, Adventure, Thriller",8,577114,167.45
368,Kill Bill: Vol. 2,2004,137,"Action, Crime, Thriller",8,677004,66.21
